"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2023","83.47","83.19","83.62","83.06","","0.02%"
"08/16/2023","83.45","85.20","85.36","83.13","334.45K","-1.70%"
"08/15/2023","84.89","86.12","86.68","84.29","305.41K","-1.53%"
"08/14/2023","86.21","86.53","86.71","85.50","267.09K","-0.69%"
"08/11/2023","86.81","86.37","87.35","85.84","318.06K","0.47%"
"08/10/2023","86.40","87.39","88.10","86.20","337.57K","-1.31%"
"08/09/2023","87.55","86.00","87.65","85.91","388.30K","1.60%"
"08/08/2023","86.17","85.79","86.34","83.32","375.87K","0.97%"
"08/07/2023","85.34","86.23","86.73","85.03","259.62K","-1.04%"
"08/04/2023","86.24","85.31","86.65","85.06","268.75K","1.29%"
"08/03/2023","85.14","83.46","85.41","82.36","392.61K","2.33%"
"08/02/2023","83.20","85.86","85.99","82.74","399.19K","-2.01%"
"08/01/2023","84.91","85.24","85.91","84.21","297.77K","-0.76%"
"07/31/2023","85.56","84.95","85.80","84.40","16.53K","0.67%"
"07/28/2023","84.99","83.71","85.09","83.22","102.84K","0.89%"
"07/27/2023","84.24","82.93","84.50","82.93","110.65K","1.59%"
"07/26/2023","82.92","83.19","83.85","82.58","173.82K","-0.86%"
"07/25/2023","83.64","82.85","83.87","82.22","234.66K","1.09%"
"07/24/2023","82.74","80.95","83.16","80.42","295.10K","2.06%"
"07/21/2023","81.07","79.78","81.24","79.65","294.35K","1.80%"
"07/20/2023","79.64","79.33","80.27","78.66","236.41K","0.23%"
"07/19/2023","79.46","79.84","80.93","79.17","311.44K","-0.21%"
"07/18/2023","79.63","78.52","79.99","78.19","366.47K","1.44%"
"07/17/2023","78.50","79.36","80.64","78.25","341.16K","-1.72%"
