"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2023","3.6550","3.6472","3.6562","3.6273","","-0.07%"
"08/16/2023","3.6575","3.6600","3.6940","3.6420","69.28K","-0.27%"
"08/15/2023","3.6675","3.7270","3.7490","3.6560","83.18K","-1.56%"
"08/14/2023","3.7255","3.7185","3.7420","3.6870","73.51K","0.17%"
"08/11/2023","3.7190","3.7550","3.7675","3.6950","95.10K","-1.22%"
"08/10/2023","3.7650","3.7875","3.8315","3.7465","81.24K","-0.49%"
"08/09/2023","3.7835","3.7795","3.8270","3.7635","85.71K","0.45%"
"08/08/2023","3.7665","3.8420","3.8420","3.7265","138.60K","-1.79%"
"08/07/2023","3.8350","3.8520","3.8770","3.8250","70.87K","-0.84%"
"08/04/2023","3.8675","3.8995","3.9280","3.8255","79.91K","-0.82%"
"08/03/2023","3.8995","3.8445","3.9040","3.8205","81.96K","1.46%"
"08/02/2023","3.8435","3.9100","3.9210","3.8340","89.27K","-1.66%"
"08/01/2023","3.9085","4.0155","4.0240","3.9040","109.74K","-2.48%"
"07/31/2023","4.0080","3.9300","4.0170","3.9080","115.17K","2.08%"
"07/28/2023","3.9265","3.8480","3.9340","3.8440","60.86K","1.32%"
"07/27/2023","3.8755","3.9050","3.9435","3.8380","76.40K","-0.68%"
"07/26/2023","3.9020","3.9265","3.9265","3.8765","65.16K","-0.34%"
"07/25/2023","3.9155","3.8485","3.9415","3.8445","85.94K","1.56%"
"07/24/2023","3.8555","3.8185","3.8605","3.7820","","0.98%"
"07/21/2023","3.8180","3.8280","3.8740","3.8090","","-0.43%"
"07/20/2023","3.8345","3.8155","3.8885","3.8110","69.44K","0.54%"
"07/19/2023","3.8140","3.8330","3.8385","3.7810","55.19K","-0.40%"
"07/18/2023","3.8295","3.8430","3.8545","3.8030","61.15K","-0.38%"
"07/17/2023","3.8440","3.9270","3.9270","3.8115","79.08K","-2.26%"
