"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2023","1,922.90","1,923.00","1,923.50","1,919.30","","1.41%"
"08/16/2023","1,896.10","1,904.50","1,904.50","1,890.30","0.02K","-0.34%"
"08/15/2023","1,902.50","1,906.00","1,907.70","1,895.00","0.07K","-0.42%"
"08/14/2023","1,910.60","1,909.30","1,912.60","1,903.30","0.05K","-1.85%"
"08/11/2023","1,946.60","1,944.90","1,953.60","1,942.70","122.32K","-0.12%"
"08/10/2023","1,948.90","1,947.70","1,963.50","1,944.40","168.26K","-0.09%"
"08/09/2023","1,950.60","1,959.30","1,966.10","1,947.20","139.26K","-0.47%"
"08/08/2023","1,959.90","1,971.50","1,972.80","1,956.50","142.34K","-0.51%"
"08/07/2023","1,970.00","1,977.60","1,981.70","1,966.10","104.41K","-0.31%"
"08/04/2023","1,976.10","1,969.60","1,984.20","1,954.50","156.42K","0.37%"
"08/03/2023","1,968.80","1,970.80","1,974.50","1,964.50","141.35K","-0.31%"
"08/02/2023","1,975.00","1,988.90","1,992.20","1,969.10","169.66K","-0.19%"
"08/01/2023","1,978.80","2,004.20","2,004.40","1,978.30","167.76K","-1.51%"
"07/31/2023","2,009.20","1,997.90","2,010.90","1,986.70","139.96K","0.47%"
"07/28/2023","1,999.90","1,985.30","2,002.00","1,983.90","159.60K","1.76%"
"07/27/2023","1,965.30","1,991.80","2,002.00","1,961.40","16.91K","-1.23%"
"07/26/2023","1,989.70","1,985.90","1,999.30","1,982.80","11.94K","0.33%"
"07/25/2023","1,983.10","1,976.10","1,986.20","1,971.10","8.63K","0.08%"
"07/24/2023","1,981.60","1,983.20","1,988.70","1,974.70","6.44K","0.76%"
"07/21/2023","1,966.60","1,972.10","1,975.90","1,958.80","156.54K","-0.22%"
"07/20/2023","1,970.90","1,980.00","1,989.80","1,967.70","189.93K","-0.50%"
"07/19/2023","1,980.80","1,982.50","1,984.60","1,973.30","159.41K","0.00%"
"07/18/2023","1,980.80","1,958.30","1,988.30","1,958.10","264.09K","1.25%"
"07/17/2023","1,956.40","1,958.60","1,963.60","1,949.00","165.83K","-0.41%"
