"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2023","2.588","2.599","2.607","2.585","","-0.15%"
"08/16/2023","2.592","2.664","2.674","2.568","142.52K","-2.52%"
"08/15/2023","2.659","2.810","2.863","2.647","158.89K","-4.87%"
"08/14/2023","2.795","2.776","2.827","2.749","93.50K","0.90%"
"08/11/2023","2.770","2.780","2.833","2.701","163.96K","0.25%"
"08/10/2023","2.763","2.974","2.998","2.747","230.51K","-6.62%"
"08/09/2023","2.959","2.797","3.018","2.771","312.25K","6.55%"
"08/08/2023","2.777","2.735","2.801","2.692","186.80K","1.91%"
"08/07/2023","2.725","2.579","2.754","2.571","228.91K","5.74%"
"08/04/2023","2.577","2.556","2.619","2.529","104.01K","0.47%"
"08/03/2023","2.565","2.484","2.586","2.474","139.15K","3.55%"
"08/02/2023","2.477","2.578","2.581","2.457","147.61K","-3.24%"
"08/01/2023","2.560","2.644","2.675","2.531","135.52K","-2.81%"
"07/31/2023","2.634","2.659","2.693","2.605","97.88K","-0.15%"
"07/28/2023","2.638","2.602","2.685","2.564","136.51K","5.86%"
"07/27/2023","2.492","2.627","2.650","2.463","2.42K","-6.49%"
"07/26/2023","2.665","2.720","2.739","2.625","37.31K","-2.38%"
"07/25/2023","2.730","2.703","2.754","2.656","35.55K","1.68%"
"07/24/2023","2.685","2.721","2.767","2.664","54.17K","-0.81%"
"07/21/2023","2.707","2.718","2.759","2.684","103.19K","-0.88%"
"07/20/2023","2.731","2.611","2.759","2.599","147.71K","5.65%"
"07/19/2023","2.585","2.612","2.642","2.570","81.16K","-1.26%"
"07/18/2023","2.618","2.529","2.634","2.522","101.52K","4.55%"
"07/17/2023","2.504","2.541","2.569","2.477","90.91K","-1.03%"
