"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2023","888.40","886.60","890.30","884.20","","-0.33%"
"08/16/2023","891.30","893.20","898.70","885.00","","-0.10%"
"08/15/2023","892.20","904.60","906.20","882.60","","-1.61%"
"08/14/2023","906.80","915.50","919.00","893.60","","-1.17%"
"08/13/2023","917.55","916.30","918.85","915.55","","0.32%"
"08/11/2023","914.60","911.50","923.10","907.30","","-0.02%"
"08/10/2023","914.80","892.90","917.00","891.40","","2.48%"
"08/09/2023","892.70","905.20","910.70","891.00","","-1.30%"
"08/08/2023","904.45","924.35","925.90","899.75","","-2.42%"
"08/07/2023","926.90","928.00","933.90","916.70","","-0.39%"
"08/06/2023","930.50","927.45","930.80","926.50","","0.22%"
"08/04/2023","928.50","920.20","931.50","914.10","","0.73%"
"08/03/2023","921.80","927.80","931.60","918.50","","-0.92%"
"08/02/2023","930.40","939.80","943.90","925.70","","-1.06%"
"08/01/2023","940.40","960.20","962.60","928.50","","-1.90%"
"07/31/2023","958.60","943.70","967.30","931.60","","1.53%"
"07/30/2023","944.20","944.80","946.05","943.85","","0.05%"
"07/28/2023","943.70","942.80","949.50","935.00","","-0.14%"
"07/27/2023","945.00","973.80","982.50","940.20","","-2.78%"
"07/26/2023","972.00","978.70","979.10","959.60","","-0.47%"
"07/25/2023","976.60","968.20","986.10","966.30","","0.73%"
"07/24/2023","969.50","971.60","976.50","963.10","","-0.05%"
"07/23/2023","969.95","970.90","973.25","968.95","","-0.23%"
"07/21/2023","972.20","965.70","974.60","960.40","","0.84%"
"07/20/2023","964.10","983.10","987.00","961.60","16.77K","-2.10%"
"07/19/2023","984.80","994.10","998.00","980.10","","-0.97%"
"07/18/2023","994.40","987.40","1,003.70","983.80","","0.70%"
"07/17/2023","987.50","982.30","991.30","973.00","","0.98%"
