"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2023","22.550","22.457","22.573","22.392","","0.07%"
"08/16/2023","22.535","22.590","22.855","22.445","","-0.53%"
"08/15/2023","22.656","22.650","22.770","22.265","61.48K","-0.23%"
"08/14/2023","22.708","22.740","22.820","22.410","53.77K","-0.15%"
"08/11/2023","22.743","22.760","22.910","22.610","52.69K","-0.34%"
"08/10/2023","22.821","22.730","23.060","22.665","75.61K","0.40%"
"08/09/2023","22.731","22.820","22.990","22.680","69.55K","-0.33%"
"08/08/2023","22.807","23.200","23.255","22.720","82.66K","-1.83%"
"08/07/2023","23.232","23.720","23.775","23.145","62.32K","-2.04%"
"08/04/2023","23.716","23.710","23.895","23.275","58.39K","0.08%"
"08/03/2023","23.697","23.835","23.940","23.410","63.14K","-0.73%"
"08/02/2023","23.872","24.480","24.630","23.760","73.95K","-1.87%"
"08/01/2023","24.326","24.900","24.905","24.255","52.95K","-2.59%"
"07/31/2023","24.972","24.475","24.985","24.320","45.40K","1.95%"
"07/28/2023","24.495","24.265","24.545","24.240","38.73K","1.04%"
"07/27/2023","24.243","24.925","25.160","24.150","0.10K","-2.41%"
"07/26/2023","24.841","24.605","25.000","24.605","0.07K","0.59%"
"07/25/2023","24.695","24.595","24.725","24.550","0.06K","1.00%"
"07/24/2023","24.451","24.675","24.715","24.365","0.07K","-1.63%"
"07/21/2023","24.855","24.950","25.110","24.765","","-0.55%"
"07/20/2023","24.992","25.310","25.473","24.898","","-1.56%"
"07/19/2023","25.387","25.275","25.460","25.145","","0.52%"
"07/18/2023","25.256","25.060","25.405","24.975","","0.95%"
"07/17/2023","25.018","25.155","25.155","24.815","","-0.70%"
